PassengerId,Survived,Probability
892,0,0.10204922429467524
893,1,0.8158030203916324
894,0,0.14195689732328248
895,0,0.14195689732328248
896,0,0.476690979119935
897,0,0.14195689732328248
898,1,0.6154949527152307
899,0,0.2508030879161137
900,1,0.7816450380556066
901,0,0.18660234495680192
902,0,0.10204922429467524
903,0,0.1786339370073087
904,1,0.9291973233873149
905,0,0.18660234495680192
906,1,0.9291973233873149
907,1,0.8976195816500218
908,0,0.14456396436431548
909,0,0.12212223082912702
910,0,0.48682049947944395
911,1,0.7816450380556066
912,0,0.2791614566378976
913,0,0.10128413494558883
914,1,0.9129760417699435
915,0,0.2791614566378976
916,1,0.9291973233873149
917,0,0.11823731475606865
918,1,0.9291973233873149
919,0,0.12212223082912702
920,0,0.3091350524876734
921,0,0.18660234495680192
922,0,0.18660234495680192
923,0,0.2508030879161137
924,1,0.5268943216247853
925,0,0.3466646227468138
926,0,0.36445054719906106
927,0,0.12212223082912702
928,0,0.4713949386406891
929,0,0.4713949386406891
930,0,0.14195689732328248
931,0,0.4791869740877589
932,0,0.14456396436431548
933,0,0.36521889054206486
934,0,0.10204922429467524
935,1,0.8776181971549468
936,1,0.973745348113114
937,0,0.14195689732328248
938,0,0.3091350524876734
939,0,0.11498102895285764
940,1,0.9291973233873149
941,1,0.512479740736431
942,0,0.32238488596092285
943,0,0.1610033246765714
944,1,0.8976195816500218
945,1,0.8979186595591075
946,0,0.15606880598532225
947,0,0.06034874570433017
948,0,0.10204922429467524
949,0,0.11860539546515547
950,0,0.1706162256725971
951,1,0.9291973233873149
952,0,0.10204922429467524
953,0,0.14456396436431548
954,0,0.11498102895285764
955,1,0.6154949527152307
956,0,0.32238488596092285
957,1,0.8976195816500218
958,1,0.6154949527152307
959,0,0.23420688466475056
960,0,0.3091350524876734
961,1,0.9291973233873149
962,1,0.6154949527152307
963,0,0.10204922429467524
964,0,0.48682049947944395
965,0,0.3091350524876734
966,1,0.9291973233873149
967,0,0.32238488596092285
968,0,0.14195689732328248
969,1,0.9129760417699435
970,0,0.14456396436431548
971,1,0.6154949527152307
972,0,0.1632306776013753
973,0,0.32238488596092285
974,0,0.1786339370073087
975,0,0.10204922429467524
976,0,0.14456396436431548
977,0,0.11823731475606865
978,1,0.6154949527152307
979,0,0.4713949386406891
980,1,0.6154949527152307
981,0,0.18660234495680192
982,1,0.6945627632391232
983,0,0.11498102895285764
984,1,0.9070153886854542
985,0,0.14195689732328248
986,0,0.1786339370073087
987,0,0.11498102895285764
988,1,0.9291973233873149
989,0,0.14195689732328248
990,1,0.6154949527152307
991,0,0.14195689732328248
992,1,0.9333616388568682
993,0,0.18660234495680192
994,0,0.11498102895285764
995,0,0.11498102895285764
996,0,0.4713949386406891
997,0,0.1786339370073087
998,0,0.10204922429467524
999,0,0.11498102895285764
1000,0,0.14195689732328248
1001,0,0.18426394311236208
1002,0,0.1610033246765714
1003,1,0.6154949527152307
1004,1,0.9129760417699435
1005,1,0.7697538296155892
1006,1,0.9291973233873149
1007,0,0.11823731475606865
1008,0,0.10128413494558883
1009,1,0.6474183441785677
1010,0,0.32238488596092285
1011,1,0.8976195816500218
1012,1,0.8921890674403808
1013,0,0.12052669262885293
1014,1,0.9291973233873149
1015,0,0.11498102895285764
1016,0,0.11498102895285764
1017,1,0.512479740736431
1018,0,0.11498102895285764
1019,1,0.5268943216247853
1020,0,0.14456396436431548
1021,0,0.14195689732328248
1022,0,0.14195689732328248
1023,0,0.3091350524876734
1024,0,0.2722709092856646
1025,0,0.10624849057742158
1026,0,0.10204922429467524
1027,0,0.10204922429467524
1028,0,0.12212223082912702
1029,0,0.14456396436431548
1030,0,0.4713949386406891
1031,0,0.23420688466475056
1032,0,0.1314952533001547
1033,1,0.9291973233873149
1034,0,0.32238488596092285
1035,0,0.1786339370073087
1036,0,0.30091364009323723
1037,0,0.07196990594674386
1038,0,0.2901739047854894
1039,0,0.14195689732328248
1040,0,0.30091364009323723
1041,0,0.18660234495680192
1042,1,0.9291973233873149
1043,0,0.10204922429467524
1044,0,0.11278348112713403
1045,0,0.476690979119935
1046,0,0.06420571424583295
